P09917 CHEMBL215
O95477 CHEMBL2362986
P25024 CHEMBL4029
Q02156 CHEMBL3582
P04578 CHEMBL3520
Q08210 CHEMBL3588732
P18825 CHEMBL1916
Q08499 CHEMBL288
P15848 CHEMBL2399
Q9Y275 CHEMBL2364158
P10912 CHEMBL1976
P35462 CHEMBL234
O60706 CHEMBL1971
P01574 CHEMBL4630876
P01589 CHEMBL1778
P24394 CHEMBL3580490
P23219 CHEMBL221
P00813 CHEMBL1910
P09960 CHEMBL4618
P26664 CHEMBL4620
P05023 CHEMBL1807
P02708 CHEMBL4808
Q5XXA6 CHEMBL2046267
P26664 CHEMBL4620
P32239 CHEMBL298
Q05320 CHEMBL4105829
P55899 CHEMBL5966
O75116 CHEMBL2973
P09874 CHEMBL3105
P48551 CHEMBL2364170
P11509 CHEMBL5282
Q96PD4 CHEMBL4630880
P23280 CHEMBL3025
P04578 CHEMBL3520
Q9NPF7 CHEMBL2364154
P32754 CHEMBL1861
P04629 CHEMBL2815
Q16570 CHEMBL2321626
P35916 CHEMBL1955
P03420 CHEMBL3856166
O76074 CHEMBL1827
P28222 CHEMBL1898
P40259 CHEMBL3712852
Q9UGH3 CHEMBL3271
O60674 CHEMBL2971
Q01718 CHEMBL1965
P18507 CHEMBL2094120
O00763 CHEMBL4829
P78508 CHEMBL2146348
P04114 CHEMBL4549
P05186 CHEMBL5979
P11387 CHEMBL1781
P50052 CHEMBL4607
P51681 CHEMBL274
Q13332 CHEMBL2396508
P01730 CHEMBL2754
P28907 CHEMBL4660
O00767 CHEMBL5555
P16109 CHEMBL5378
Q9HB29 CHEMBL4665591
P28221 CHEMBL1983
P10275 CHEMBL1871
P33527 CHEMBL3004
P08913 CHEMBL1867
Q9BQB6 CHEMBL1930
P9WP31 CHEMBL2030
P30968 CHEMBL1855
P06239 CHEMBL258
P17252 CHEMBL299
P63316 CHEMBL2066
P49354 CHEMBL271
P00915 CHEMBL261
P29459 CHEMBL2364153
P51649 CHEMBL1911
P11511 CHEMBL1978
Q99808 CHEMBL1997
P32745 CHEMBL2028
P19793 CHEMBL2061
P21453 CHEMBL4333
P26010 CHEMBL2979
P33815 CHEMBL5308522
P03366 CHEMBL5823
P18177 CHEMBL3580505
Q15661 CHEMBL2617
P04626 CHEMBL1824
P00451 CHEMBL3143
Q9GZV9 CHEMBL3713913
Q16739 CHEMBL2063
P16410 CHEMBL2364164
O14786 CHEMBL5174
P21730 CHEMBL2373
P47898 CHEMBL3426
Q25634 CHEMBL2363051
P40238 CHEMBL1864
P49327 CHEMBL4158
P00533 CHEMBL203
P30872 CHEMBL1917
O75907 CHEMBL6009
P49895 CHEMBL2019
O43570 CHEMBL3242
P48357 CHEMBL5913
P16788 CHEMBL1287608
P00374 CHEMBL202
P50135 CHEMBL2190
P22460 CHEMBL4306
P09758 CHEMBL3856163
P00749 CHEMBL3286
P06241 CHEMBL1841
P07900 CHEMBL3880
Q96NT5 CHEMBL1795188
P11712 CHEMBL3397
P02671 CHEMBL2364709
O60760 CHEMBL5879
P01375 CHEMBL1825
Q12809 CHEMBL240
P07333 CHEMBL1844
P00918 CHEMBL205
P13716 CHEMBL3126
P00533 CHEMBL203
P08173 CHEMBL1821
P15692 CHEMBL1783
O75874 CHEMBL2007625
Q99814 CHEMBL1744522
O14788 CHEMBL2364162
P06280 CHEMBL2524
P23975 CHEMBL222
O15123 CHEMBL3580489
Q16552 CHEMBL3390822
P21728 CHEMBL2056
P12318 CHEMBL5841
Q12879 CHEMBL1972
P20831 CHEMBL2424506
P10145 CHEMBL2157
Q9UNI1 CHEMBL3000
P06401 CHEMBL208
P05108 CHEMBL2033
P52333 CHEMBL2148
P34059 CHEMBL4523218
P03366 CHEMBL5823
P04275 CHEMBL2021748
P02766 CHEMBL3194
P25101 CHEMBL252
Q9NZD1 CHEMBL4523925
P35869 CHEMBL3201
P30411 CHEMBL3157
P05155 CHEMBL5305024
P38571 CHEMBL4184
P0A749 CHEMBL1984
P04070 CHEMBL4444
Q12908 CHEMBL2778
P21917 CHEMBL219
Q06187 CHEMBL5251
P31327 CHEMBL2362990
Q15910 CHEMBL2189110
Q08209 CHEMBL4445
P23284 CHEMBL2075
P05362 CHEMBL3070
P31644 CHEMBL5112
P15121 CHEMBL1900
P01024 CHEMBL4917
P18405 CHEMBL1787
O14764 CHEMBL3591
P00956 CHEMBL3657
P33815 CHEMBL5308522
P07477 CHEMBL209
P31645 CHEMBL228
P13423 CHEMBL5352
P08620 CHEMBL3286072
Q13885 CHEMBL3797012
P06858 CHEMBL2060
Q99928 CHEMBL3885573
P11229 CHEMBL216
P00441 CHEMBL2354
P40763 CHEMBL4026
P35225 CHEMBL3580486
P35368 CHEMBL232
P29371 CHEMBL4429
P49765 CHEMBL3580488
P04183 CHEMBL2883
P22303 CHEMBL220
P31639 CHEMBL3884
P38484 CHEMBL2364171
P25779 CHEMBL3563
Q8NF37 CHEMBL4295903
P04150 CHEMBL2034
P13423 CHEMBL5352
P25021 CHEMBL1941
P41595 CHEMBL1833
P10415 CHEMBL4860
P27487 CHEMBL284
P04054 CHEMBL4426
P10253 CHEMBL2608
P03470 CHEMBL1287610
P09038 CHEMBL3107
Q9ULX7 CHEMBL3510
P28223 CHEMBL224
P30988 CHEMBL1832
Q16602 CHEMBL3798
P03433 CHEMBL1169598
P05231 CHEMBL1795129
P00338 CHEMBL4835
P0AD68 CHEMBL2354204
P01133 CHEMBL5734
P08842 CHEMBL3559
P42261 CHEMBL2009
Q07820 CHEMBL4361
Q96F46 CHEMBL3580485
Q9UHC9 CHEMBL2027
Q9UI33 CHEMBL5167
P11473 CHEMBL1977
P50336 CHEMBL1926488
P34948 CHEMBL3946
P36544 CHEMBL2492
O95838 CHEMBL5844
O00555 CHEMBL4266
